arm,config,seed,M,image,PSNR
mave_sens,bw0.5_r10,1,20000,airplane,12.088411371333025
mave_sens,bw0.5_r10,1,20000,car,17.230883343489506
mave_sens,bw0.5_r10,1,20000,ship,12.15589524271035
mave_sens,bw0.5_r10,1,20000,truck,13.736553238236954
mave_sens,bw0.5_r10,2,20000,cat,13.040192801897849
mave_sens,bw0.5_r10,2,20000,deer,15.23061185271656
mave_sens,bw0.5_r10,2,20000,dog,13.251416177056266
mave_sens,bw0.5_r10,2,20000,horse,15.557716017952917
mave_sens,bw0.5_r10,2,20000,airplane,16.079285488338904
mave_sens,bw0.5_r10,2,20000,car,13.889984007643994
mave_sens,bw0.5_r10,2,20000,ship,12.957204508318652
mave_sens,bw0.5_r10,2,20000,truck,15.528690734706597
