family,probe_type,v_idx,err,q_theory
MIX-LOGN,zero_mean_random,12,277.572,285.813
MIX-LOGN,zero_mean_random,13,240.474,252.479
MIX-LOGN,zero_mean_random,14,273.36,242.288
MIX-LOGN,zero_mean_random,15,220.674,207.236
MIX-LOGN,zero_mean_random,16,172.767,211.974
MIX-LOGN,zero_mean_random,17,248.131,245.299
MIX-LOGN,zero_mean_random,18,223.838,225.336
MIX-LOGN,zero_mean_random,19,293.054,271.547
MIX-LOGN,zero_mean_random,20,210.571,190.778
MIX-LOGN,zero_mean_random,21,302.741,285.791
MIX-LOGN,zero_mean_random,22,181.962,185.346
MIX-LOGN,zero_mean_random,23,272.906,263.487
MIX-LOGN,zero_mean_random,24,252.245,242.605
MIX-LOGN,zero_mean_random,25,208.108,182.863
MIX-LOGN,zero_mean_random,26,256.927,241.758
MIX-LOGN,zero_mean_random,27,145.468,146.967
MIX-LOGN,zero_mean_random,28,345.199,293.639
MIX-LOGN,zero_mean_random,29,289.515,293.199
MIX-LOGN,zero_mean_random,30,280.129,237.992
MIX-LOGN,zero_mean_random,31,183.87,176.63
MIX-LOGN,nonzero_sum_random,32,191.272,187.004
MIX-LOGN,nonzero_sum_random,33,195.921,222.701
MIX-LOGN,nonzero_sum_random,34,201.846,180.174
MIX-LOGN,nonzero_sum_random,35,260.953,290.863
MIX-LOGN,nonzero_sum_random,36,352.827,356.221
MIX-LOGN,nonzero_sum_random,37,249.636,227.716
MIX-LOGN,nonzero_sum_random,38,252.268,252.076
MIX-LOGN,nonzero_sum_random,39,290.451,296.591
MIX-LOGN,nonzero_sum_random,40,305.442,273.511
MIX-LOGN,nonzero_sum_random,41,225.183,211.26
MIX-LOGN,nonzero_sum_random,42,347.183,326.469
MIX-LOGN,nonzero_sum_random,43,373.374,348.27
MIX-LOGN,nonzero_sum_random,44,332.463,292.36
MIX-LOGN,nonzero_sum_random,45,334.99,299.74
MIX-LOGN,nonzero_sum_random,46,312.333,312.376
MIX-LOGN,nonzero_sum_random,47,246.813,245.158
MIX-LOGN,structured,48,1558.88,1575.32
MIX-LOGN,structured,49,125.772,113.954
MIX-LOGN,structured,50,118.979,114.396
MIX-LOGN,structured,51,9.08696,8.54979
MIX-LOGN,structured,52,1197.06,1064.98
MIX-LOGN,structured,53,1041.59,1068.8
MIX-LOGN,structured,54,955.164,917.916
MIX-LOGN,structured,55,563.972,524.465
MIX-LOGN,structured,56,521.913,524.116
MIX-LOGN,structured,57,491.642,474.314
MIX-LOGN,structured,58,454.792,474.685
MIX-LOGN,structured,59,289.18,262.778
MIX-LOGN,structured,60,1313.65,1283.11
MIX-LOGN,structured,61,1304.11,1281.88
MIX-LOGN,structured,62,903.726,891.325
MIX-LOGN,structured,63,471.294,465.007
