image,illum,link,photons,seed,method,PSNR,SSIM,LPIPS,angerr,pearson
cat,GAM4,DT30,10000.0,2,SIR-10,23.392689584880646,0.9277879354324651,nan,7.338831167813992,0.9399380926686852
deer,GAM4,DT30,10000.0,2,SIR-10,25.92305979859208,0.8767160761712747,nan,7.020756562042999,0.9805916704093078
dog,GAM4,DT30,10000.0,2,SIR-10,18.941031652826357,0.596343674098044,nan,7.089975653586722,0.6962970680448491
horse,GAM4,DT30,10000.0,2,SIR-10,22.427290840802222,0.9025728021292528,nan,6.8217754034343026,0.9434155593387091
airplane,GAM4,DT30,10000.0,2,SIR-10,22.498928949512482,0.8209534019810141,nan,7.157421691059627,0.9097039688520628
car,GAM4,DT30,10000.0,2,SIR-10,25.262240518566802,0.9727207945178895,nan,6.716267479542967,0.9818436651472491
ship,GAM4,DT30,10000.0,2,SIR-10,20.27679238930655,0.7837470402455309,nan,7.209825452060651,0.9130410620011696
truck,GAM4,DT30,10000.0,2,SIR-10,24.942235545753036,0.9455132294944485,nan,6.689412299845706,0.9784239006867166
cat,GAM4,DT30,10000.0,2,SIR-20,23.531880377076018,0.9299913972628008,nan,7.220218310146425,0.9420466570598982
deer,GAM4,DT30,10000.0,2,SIR-20,26.132261546680784,0.8814856931718031,nan,6.872391871665332,0.981235577783226
dog,GAM4,DT30,10000.0,2,SIR-20,18.97257060355867,0.5971050639001928,nan,7.063600880914648,0.7009739225251643
horse,GAM4,DT30,10000.0,2,SIR-20,22.610123548202708,0.9047129705308586,nan,6.681717729155094,0.9454642669767492
airplane,GAM4,DT30,10000.0,2,SIR-20,22.66080648336642,0.8247715975661106,nan,7.0225089877001015,0.9137330078709396
car,GAM4,DT30,10000.0,2,SIR-20,25.32420528191718,0.9735765776531653,nan,6.668434617164532,0.9821013734168912
ship,GAM4,DT30,10000.0,2,SIR-20,20.26655011745582,0.7844869094030018,nan,7.214242548896091,0.9139040630801597
truck,GAM4,DT30,10000.0,2,SIR-20,24.918465587181544,0.9456903437077128,nan,6.70314136622432,0.9783994979348195
cat,GAM4,DT30,10000.0,2,L-ISOTRON,23.65560828944598,0.9300598611470131,nan,7.1187791936155325,0.9435826754781229
deer,GAM4,DT30,10000.0,2,L-ISOTRON,26.197525950826265,0.8823406318240531,nan,6.829438116921838,0.9813934569691942
dog,GAM4,DT30,10000.0,2,L-ISOTRON,19.17571196802824,0.6067255492933792,nan,6.902871502801784,0.7057665833865865
horse,GAM4,DT30,10000.0,2,L-ISOTRON,22.80249800689886,0.9084989596011839,nan,6.5380947554305,0.9474559020251389
airplane,GAM4,DT30,10000.0,2,L-ISOTRON,22.687926740466146,0.8261581689507294,nan,6.998305544436374,0.9148981531027806
car,GAM4,DT30,10000.0,2,L-ISOTRON,25.522996006678685,0.9745951977234205,nan,6.516623355978171,0.9829129114664207
ship,GAM4,DT30,10000.0,2,L-ISOTRON,20.479455282983192,0.790752211653553,nan,7.040570656734744,0.9177221194536719
truck,GAM4,DT30,10000.0,2,L-ISOTRON,25.005995283783346,0.9470627775684765,nan,6.64050554206853,0.9787368834208271
cat,GAM4,DT30,10000.0,2,GI,23.626672582935726,0.9296228973091446,nan,7.142250876465494,0.9432414739580891
deer,GAM4,DT30,10000.0,2,GI,26.16861912415483,0.8816759087561564,nan,6.852018265198193,0.9812722376512684
dog,GAM4,DT30,10000.0,2,GI,19.147420756714585,0.6052084202955852,nan,6.925163673246195,0.7046477975170754
horse,GAM4,DT30,10000.0,2,GI,22.772690648124538,0.9079313149419568,nan,6.560357573693097,0.9471244346526743
airplane,GAM4,DT30,10000.0,2,GI,22.68792674046615,0.8261581689507272,nan,6.998305544436218,0.9148981531027806
car,GAM4,DT30,10000.0,2,GI,25.494048113014117,0.9744291481927324,nan,6.538493037186737,0.9827973461400537
ship,GAM4,DT30,10000.0,2,GI,20.479455282983192,0.7907522116535516,nan,7.040570656734692,0.9177221194536719
truck,GAM4,DT30,10000.0,2,GI,24.97564192776271,0.9467284441718989,nan,6.6636534493865724,0.9785902739814069
cat,GAM4,DT30,10000.0,2,MLE-OR,18.252471085127407,0.6285692011346081,nan,13.356409928538207,0.9431983055314972
deer,GAM4,DT30,10000.0,2,MLE-OR,15.7371211934841,0.5837168723237244,nan,22.775686878336188,0.9811906125007609
dog,GAM4,DT30,10000.0,2,MLE-OR,22.097521618880485,0.557454492015315,nan,4.962607182632658,0.7023273628076373
horse,GAM4,DT30,10000.0,2,MLE-OR,17.064251629989865,0.6111786551821797,nan,12.735571517496421,0.946798560638356
airplane,GAM4,DT30,10000.0,2,MLE-OR,18.794348613818958,0.6083687923890951,nan,11.014300184935943,0.9145313860668112
car,GAM4,DT30,10000.0,2,MLE-OR,14.560900536883391,0.616767738403118,nan,22.78009762853508,0.9828132304242077
ship,GAM4,DT30,10000.0,2,MLE-OR,16.580949061353046,0.5951837138132965,nan,11.105415437944337,0.9170930242572833
truck,GAM4,DT30,10000.0,2,MLE-OR,15.099163785969381,0.6482032377160268,nan,20.71627596354497,0.9785689459915567
cat,GAM4,DT30,10000.0,2,MAVE-16,31.576695144031323,0.9880538573047823,nan,2.8769525258356508,0.9899548809825754
deer,GAM4,DT30,10000.0,2,MAVE-16,34.09760227837389,0.9748178173296149,nan,2.7685654045990793,0.9968665048205442
dog,GAM4,DT30,10000.0,2,MAVE-16,26.03855491372412,0.8901804201809581,nan,3.145364241299205,0.9071288504910541
horse,GAM4,DT30,10000.0,2,MAVE-16,29.069326017568358,0.9781410839201023,nan,3.1920813935546546,0.9865269109319965
airplane,GAM4,DT30,10000.0,2,MAVE-16,29.5507294400084,0.950196541074131,nan,3.1860521851903627,0.9808827392538206
car,GAM4,DT30,10000.0,2,MAVE-16,32.42660134204333,0.9948754379420598,nan,2.9112377889023358,0.9967097830477251
