side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,c_force
64,bern50,0.05,2000.0,4096,0,dev_stl_01,RQL,15.1945,0.1009,,0.3309,0.00123,0.225457,95.33,0.40959999999999996,0.0,0.0,10.38,10.383,15.1909,1.528511,89.456146,86.38688,9.1e-05,0.999684,0.25,0.221108,0.225457,,,,,,0.25
64,bern50,0.05,2000.0,4096,0,dev_stl_02,RQL,15.8624,0.19485,,0.3359,0.00202,0.225457,95.4,0.40959999999999996,0.0,0.0,10.27,10.267,15.8589,3.844034,94.105743,86.38688,9.1e-05,0.999684,0.25,0.221108,0.225457,,,,,,0.25
64,bern50,0.05,2000.0,4096,0,dev_stl_03,RQL,15.6271,0.21584,,0.59821,-0.00047,0.225457,95.18,0.40959999999999996,0.0,0.0,10.79,10.786,15.627,2.732021,91.872807,86.38688,9.1e-05,0.999684,0.25,0.221108,0.225457,,,,,,0.25
64,bern50,0.05,2000.0,4096,0,dev_text,RQL,15.0987,0.29021,,0.77153,-0.00337,0.225457,94.88,0.40959999999999996,0.0,0.0,12.67,12.666,15.0928,19.413712,125.369828,86.38688,9.1e-05,0.999684,0.25,0.221108,0.225457,,,,,,0.25
64,bern50,0.05,2000.0,4096,0,dev_fine_lines,RQL,6.097,0.01138,,0.74933,0.00167,0.225457,95.37,0.40959999999999996,0.0,0.0,10.4,10.4,6.0967,1.291226,88.979676,86.38688,9.1e-05,0.999684,0.25,0.221108,0.225457,,,,,,0.25
64,bern50,0.05,2000.0,4096,1,dev_stl_00,RQL,16.1494,0.23793,,0.30965,-0.00094,0.224985,95.14,0.40959999999999996,0.0,0.0,9.36,9.364,16.1541,1.173476,88.743284,86.38688,9.1e-05,0.999705,0.25,0.220646,0.224985,,,,,,0.25
64,bern50,0.05,2000.0,4096,1,dev_stl_01,RQL,15.0669,0.15702,,0.33561,-0.00053,0.224985,95.18,0.40959999999999996,0.0,0.0,9.81,9.809,15.0681,1.0,85.091973,86.38688,9.1e-05,0.999705,0.25,0.220646,0.224985,,,,,,0.25
64,bern50,0.05,2000.0,4096,1,dev_stl_02,RQL,15.3959,0.14689,,0.35419,-0.00205,0.224985,95.05,0.40959999999999996,0.0,0.0,9.67,9.668,15.3984,1.828538,90.058683,86.38688,9.1e-05,0.999705,0.25,0.220646,0.224985,,,,,,0.25
64,bern50,0.05,2000.0,4096,1,dev_stl_03,RQL,15.3197,0.17205,,0.61975,0.00028,0.224985,95.25,0.40959999999999996,0.0,0.0,10.03,10.024,15.3198,1.0,86.807971,86.38688,9.1e-05,0.999705,0.25,0.220646,0.224985,,,,,,0.25
64,bern50,0.05,2000.0,4096,1,dev_text,RQL,14.8377,0.21331,,0.79467,-0.001,0.224985,95.18,0.40959999999999996,0.0,0.0,11.69,11.689,14.8361,19.796975,126.140286,86.38688,9.1e-05,0.999705,0.25,0.220646,0.224985,,,,,,0.25
