image,rho_bar,nu,seed,C0,C_hat,c_pick,P_25,P_50,P_max,P_pick,regret
dev_text,0.05,20.0,1,16,64.0,0.25,13.1161,13.0748,13.1161,13.1161,0.0
dev_text,0.05,500.0,0,16,16.457175,0.25,13.6601,13.1095,13.6601,13.6601,0.0
dev_text,0.05,500.0,1,16,20.775468,0.25,13.842,13.363,13.842,13.842,0.0
dev_text,0.05,50.0,0,16,1.0,0.5,13.1344,13.0943,13.1344,13.0943,0.0401
dev_text,0.05,50.0,1,16,64.0,0.25,13.2315,13.0829,13.2315,13.2315,0.0
dev_text,0.05,5.0,0,16,64.0,0.25,13.0819,13.0709,13.0819,13.0819,0.0
dev_text,0.05,5.0,1,16,64.0,0.25,12.1924,13.0721,13.0721,12.1924,0.8797
dev_text,0.6,1000.0,0,16,19.990735,0.25,17.414,15.0404,17.414,17.414,0.0
dev_text,0.6,1000.0,1,16,19.553976,0.25,17.3896,15.0817,17.3896,17.3896,0.0
dev_text,0.6,100.0,0,16,19.17875,0.25,14.0028,13.4168,14.0028,14.0028,0.0
dev_text,0.6,100.0,1,16,17.613427,0.25,13.9329,13.3753,13.9329,13.9329,0.0
dev_text,0.6,10.0,0,16,24.843291,0.25,13.2671,13.0837,13.2671,13.2671,0.0
dev_text,0.6,10.0,1,16,59.240338,0.25,13.3375,13.074,13.3375,13.3375,0.0
dev_text,0.6,2000.0,0,16,19.76562,0.25,19.0534,16.2496,19.0534,19.0534,0.0
dev_text,0.6,2000.0,1,16,18.718923,0.25,18.6151,16.0922,18.6151,18.6151,0.0
